,sel,mig,idHap,piHap
175,0.054,0.004,R1,1.0
176,0.054,0.004,R2,2.0
177,0.054,0.004,R3,17.0
178,0.054,0.005,R0,0.0
179,0.054,0.005,R1,1.0
180,0.054,0.005,R2,19.0
181,0.054,0.006,R0,0.0
182,0.054,0.006,R1,1.0
183,0.054,0.006,R2,1.0
184,0.054,0.006,R3,1.0
185,0.054,0.006,R4,1.0
186,0.054,0.006,R5,1.0
187,0.054,0.006,R6,1.0
188,0.054,0.006,R7,14.0
189,0.054,0.007,R0,0.0
190,0.054,0.007,R1,1.0
191,0.054,0.007,R2,4.0
192,0.054,0.007,R3,15.0
193,0.054,0.008,R0,0.0
194,0.054,0.008,R1,1.0
195,0.054,0.008,R2,7.0
196,0.054,0.008,R3,12.0
197,0.054,0.009,R0,0.0
198,0.054,0.009,R1,20.0
